Parcel,Year,Land_Assessment,Improvement_Assessment,Total_Assessment
0,2020,0,0,0
60802307997,2019,0,5000,5000
70835124359,2019,500,1500,2000
60802112023,2019,86200,201200,287400
70813307183,2019,114200,267200,381400
71011108612,2019,30000,240900,270900
70816302106,2019,36800,0,36800
70932421038,2019,48000,123200,171200
80924422978,2019,400,1600,2000
60802305024,2019,13800,198700,212500
70931201225,2019,210000,16000,226000
70814305011,2019,87700,185800,273500
70923153492,2019,1300,23700,25000
71005301090,2019,65200,251200,316400
81026347014,2019,4200,0,4200
70816310068,2019,148000,453100,601100
81014303474,2019,32800,164100,196900
60802413265,2019,95000,248600,343600
81030307202,2019,59800,130700,190500
71004408160,2019,70600,109900,180500
70836413181,2019,0,0,0
81034314021,2019,25000,96300,121300
70926108220,2019,77000,230500,307500
70918318027,2019,66500,154000,220500
81015302061,2019,149000,0,149000
81034310029,2019,0,0,0
70823413293,2019,25400,197200,222600
71007304290,2019,105300,240000,345300
70825302113,2019,671000,779000,1450000
70823116037,2019,89400,310000,399400
71021113031,2019,15100,89900,105000
70934405014,2019,605000,4552000,5157000
70823111079,2019,89000,209900,298900
70923215185,2019,106800,258200,365000
71009314106,2019,66800,98900,165700
71007222137,2019,415600,447900,863500
71009214215,2019,51900,156700,208600
71010105148,2019,58000,229100,287100
70826313036,2019,69200,212300,281500
81021407102,2019,60200,173600,233800
70922219063,2019,0,0,0
70913312222,2019,0,0,0
60811402283,2019,81400,225400,306800
70918319710,2019,20500,102400,122900
70829112089,2019,81000,317600,398600
70829110207,2019,87400,291600,379000
70923202067,2019,182000,265000,447000
70926417093,2019,44200,42300,86500
70836410187,2019,55100,145800,200900
80926103138,2019,50900,197200,248100
71014204102,2019,55100,162800,217900
60801316212,2019,24000,133500,157500
71005330031,2019,98100,222900,321000
70828420095,2019,0,0,0
71002434068,2019,10500,0,10500
60802410154,2019,67800,164800,232600
70921416058,2019,137900,225800,363700
70824207067,2019,115900,191300,307200
70918321773,2019,0,2000,2000
71027203034,2019,578600,7598400,8177000
70828124093,2019,12900,257100,270000
60801311197,2019,77900,262100,340000
70928109359,2019,109100,439400,548500
80925304274,2019,47800,147500,195300
80925111017,2019,53400,158700,212100
60812108111,2019,86800,179600,266400
60811116016,2019,18800,210500,229300
70826419694,2019,0,4000,4000
70836302144,2019,64500,216300,280800
70821206012,2019,104000,315000,419000
71027407040,2019,51000,194000,245000
70814424142,2019,84900,254100,339000
70833412053,2019,46200,203600,249800
