Parcel,Year,Land_Assessment,Improvement_Assessment,Total_Assessment
71002302108,2019,28200,0,28200
71002302116,2019,15200,0,15200
71002302124,2019,15200,0,15200
71002302132,2019,17500,0,17500
71002303015,2019,37300,193300,230600
71002303023,2019,31400,206400,237800
71002303031,2019,34300,197800,232100
71002303049,2019,31000,201100,232100
71002303057,2019,33000,199900,232900
71002303065,2019,33000,215500,248500
71002303073,2019,33000,204000,237000
71002303081,2019,33000,212000,245000
71002303099,2019,33000,215000,248000
71002303106,2019,33000,205700,238700
71002303114,2019,31800,208000,239800
71002303122,2019,33300,194500,227800
71002303130,2019,32500,201800,234300
71002303148,2019,32500,217400,249900
71002303156,2019,31400,202200,233600
71002303164,2019,53500,188500,242000
71002303172,2019,44800,190100,234900
71002303180,2019,34100,200800,234900
71002303198,2019,36000,203400,239400
71002303205,2019,34900,202100,237000
71002303213,2019,32700,204200,236900
71002303221,2019,34800,202700,237500
71002303239,2019,35000,204700,239700
71002303247,2019,36500,209500,246000
71002303255,2019,37300,205500,242800
71002303263,2019,37300,205500,242800
71002303271,2019,36000,210000,246000
71002303289,2019,35900,214600,250500
71002303297,2019,30800,204500,235300
71002303304,2019,35800,201500,237300
71002304013,2019,61800,281300,343100
71002304021,2019,57900,244900,302800
71002304039,2019,57300,325800,383100
71002304047,2019,55400,243500,298900
71002304055,2019,61700,283100,344800
71002305037,2019,64300,224700,289000
71002305045,2019,60100,245100,305200
71002305053,2019,73500,247700,321200
71002305061,2019,71000,337500,408500
71002305079,2019,60500,234600,295100
71002305087,2019,56400,273500,329900
71002305095,2019,59000,239900,298900
71002305227,2019,100,0,100
71002305235,2019,100,0,100
71002306019,2019,64800,252900,317700
71002306027,2019,61400,253600,315000
71002306035,2019,67700,237500,305200
71002306043,2019,57900,197900,255800
71002306051,2019,55400,250600,306000
71002306069,2019,58900,229900,288800
71002306077,2019,63800,234600,298400
71002306085,2019,53900,220000,273900
71002306093,2019,48700,229700,278400
71002307059,2019,55400,213200,268600
71002307067,2019,53600,233200,286800
71002307075,2019,57100,220900,278000
71002308023,2019,9500,0,9500
71002308065,2019,53000,256000,309000
71002308073,2019,57500,262600,320100
71002308081,2019,59300,224100,283400
71002308099,2019,56000,249900,305900
71002308106,2019,56000,243400,299400
71002308114,2019,56000,257500,313500
71002308122,2019,56000,228300,284300
71002308130,2019,53700,226700,280400
71002309013,2019,60900,220000,280900
71002309021,2019,60900,284700,345600
71002309039,2019,68600,254600,323200
71002309047,2019,66200,293800,360000
71002309055,2019,63300,291900,355200
71002309063,2019,63000,244700,307700
71002309071,2019,64300,326000,390300
71002310010,2019,58700,272900,331600
71002310028,2019,51300,300700,352000
71002310036,2019,50400,259500,309900
71002310044,2019,50000,242000,292000
71002310052,2019,49400,253500,302900
71002310060,2019,48800,365800,414600
71002310078,2019,48100,275800,323900
71002310086,2019,45000,266900,311900
71002310094,2019,46800,272800,319600
71002310101,2019,50400,228300,278700
71002310119,2019,47100,233000,280100
71002310127,2019,47000,238000,285000
71002310135,2019,48000,305100,353100
71002310143,2019,48000,252000,300000
71002310151,2019,48700,226100,274800
71002310169,2019,49400,240000,289400
71002310177,2019,50800,221900,272700
71002310185,2019,50800,259100,309900
71002310193,2019,51500,273200,324700
71002310200,2019,57700,260400,318100
71002311018,2019,60100,240800,300900
71002311026,2019,61800,237700,299500
71002311034,2019,62500,286900,349400
71002311042,2019,62500,274400,336900
71002311050,2019,62600,274000,336600
71002311068,2019,62600,278400,341000
71002311076,2019,58700,276600,335300
71002311084,2019,58300,294800,353100
71002311092,2019,60700,265500,326200
71002311109,2019,60700,248900,309600
71002311117,2019,58700,252200,310900
71002311125,2019,58700,246100,304800
71002311133,2019,62600,30000,92600
71002311141,2019,62600,323500,386100
71002311159,2019,62600,257300,319900
71002311167,2019,62600,278100,340700
71002311175,2019,63700,251200,314900
71002311183,2019,61600,284600,346200
71002311191,2019,59000,275900,334900
71002312016,2019,11800,0,11800
71002312024,2019,11100,0,11100
71002312032,2019,11300,0,11300
71002312040,2019,68100,294800,362900
71002312058,2019,65000,325000,390000
71002312066,2019,63700,305800,369500
71002312074,2019,64100,305800,369900
71002312082,2019,61200,288700,349900
71002312090,2019,61200,281600,342800
71002312107,2019,61800,273400,335200
71002312115,2019,61800,297600,359400
71002312123,2019,66800,219700,286500
71002313014,2019,55400,214600,270000
71002313022,2019,55400,258500,313900
71002313030,2019,56900,222500,279400
71002313048,2019,59800,203700,263500
71002313056,2019,61900,243600,305500
71002314038,2019,63200,276500,339700
71002314046,2019,63200,242200,305400
71002314054,2019,63200,298200,361400
71002314062,2019,64800,218700,283500
71002314070,2019,62300,265800,328100
71002314088,2019,55100,215700,270800
71002314286,2019,2100,0,2100
71002315010,2019,2500,0,2500
71002315185,2019,2800,0,2800
71002315193,2019,3000,0,3000
71002315200,2019,3400,0,3400
71002315218,2019,2300,0,2300
71002316018,2019,2400,0,2400
71002316026,2019,2800,0,2800
71002316034,2019,2700,0,2700
71002316117,2019,61200,155200,216400
71002316125,2019,59500,275400,334900
71002316133,2019,59500,310400,369900
71002316141,2019,59500,260400,319900
71002316159,2019,59500,260400,319900
71002316167,2019,9900,0,9900
71002316183,2019,10100,0,10100
71002316191,2019,10600,0,10600
71002316208,2019,10600,0,10600
71002316216,2019,2100,0,2100
71002317016,2019,35600,0,35600
71002317024,2019,100,0,100
71002317032,2019,100,0,100
71002317058,2019,100,0,100
71002401017,2019,82000,218700,300700
71002401025,2019,73400,190900,264300
71002401033,2019,74100,143500,217600
71002401041,2019,72900,223500,296400
71002401059,2019,71000,228700,299700
71002401067,2019,100100,300700,400800
71002401075,2019,71900,238400,310300
71002401083,2019,72300,222600,294900
71002401950,2019,133300,320800,454100
71002402015,2019,70200,250900,321100
71002402023,2019,69600,245700,315300
71002402031,2019,69900,248700,318600
71002402049,2019,70100,205300,275400
71002402057,2019,70200,259800,330000
71002402065,2019,70400,209400,279800
71002402073,2019,70500,225900,296400
71002402081,2019,70700,178900,249600
71002403013,2019,71900,282400,354300
71002403021,2019,11500,0,11500
71002403039,2019,11500,120200,131700
71002403047,2019,67600,108500,176100
71002403055,2019,67600,161800,229400
71002403063,2019,68200,38600,106800
71002403071,2019,83600,317200,400800
71002403089,2019,86200,262300,348500
71002403097,2019,93000,223200,316200
71002403104,2019,87000,316500,403500
71002403120,2019,87800,425500,513300
71002403138,2019,104200,250800,355000
71002403146,2019,94100,307900,402000
71002403162,2019,94100,213700,307800
