Parcel,XCoord,YCoord,Total_Assessment
71002302108,849947.4891,491732.1595,28200
71002302116,849947.9819,491690.1742,15200
71002302124,849947.4316,491660.6293,15200
71002302132,849945.2818,491628.4275,17500
71002303015,849145.4702,491488.2448,230600
71002303023,849145.766,491455.9195,237800
71002303031,849145.6102,491425.8032,232100
71002303049,849146.6869,491395.1391,232100
71002303057,849147.4539,491364.1042,232900
71002303065,849153.2696,491333.3538,248500
71002303073,849162.0074,491303.3041,237000
71002303081,849173.5486,491274.2168,245000
71002303099,849187.7874,491246.349,248000
71002303106,849204.6618,491219.9935,238700
71002303114,849225.1015,491197.1422,239800
71002303122,849245.1927,491174.0808,227800
71002303130,849264.828,491150.25399999996,234300
71002303148,849284.2248,491126.7165,249900
71002303156,849303.3038,491103.5648,233600
71002303164,849335.479,491070.0117,242000
71002303172,849468.3818,491132.8921,234900
71002303180,849442.4715,491155.3734,234900
71002303198,849421.6864,491178.0745,239400
71002303205,849400.0484,491201.7061,237000
71002303213,849377.6301,491223.8203,236900
71002303221,849355.6081,491247.5934,237500
71002303239,849334.7058,491273.8991,239700
71002303247,849315.6521,491301.3424,246000
71002303255,849300.2029,491331.0253,242800
71002303263,849288.9544,491362.5774,242800
71002303271,849282.1537,491395.2033,246000
71002303289,849278.6667,491428.8214,250500
71002303297,849280.7646,491460.8404,235300
71002303304,849279.2717,491492.6268,237300
71002304013,849444.9592,491476.7349,343100
71002304021,849449.1672,491406.4631,302800
71002304039,849482.8265,491351.6684,383100
71002304047,849527.2109,491310.0199,298900
71002304055,849575.2937,491263.154,344800
71002305037,849675.9424,491175.4361,289000
71002305045,849721.5681,491130.1049,305200
71002305053,849797.8738,491106.8588,321200
71002305061,849820.7652,491029.7584,408500
71002305079,849825.8541,490947.8479,295100
71002305087,849822.0766,490883.1688,329900
71002305095,849820.5301,490820.4637,298900
71002305227,849938.5272,491182.3023,100
71002305235,849935.6804,491247.2933,100
71002306019,849384.3743,490933.4361,317700
71002306027,849451.8556,490956.5593,315000
71002306035,849522.6311,490970.9993,305200
71002306043,849556.1455,491058.6232,255800
71002306051,849600.8842,491015.9507,306000
71002306069,849646.5975,490973.2636,288800
71002306077,849661.1034,490910.042,298400
71002306085,849681.8778,490830.1197,273900
71002306093,849621.5787,490831.0343,278400
71002307059,849667.6182,490694.6136,268600
71002307067,849666.6608,490628.1816,286800
71002307075,849666.9911,490560.9731,278000
71002308023,849462.1473,490424.7091,9500
71002308065,849710.2183,490434.1146,309000
71002308073,849716.1784,490368.7424,320100
71002308081,849716.0666,490302.18799999997,283400
71002308099,849637.0177,490319.9551,305900
71002308106,849578.0303,490321.1764,299400
71002308114,849519.0429,490322.3977,313500
71002308122,849460.0573,490323.6187,284300
71002308130,849386.0748,490309.1429,280400
71002309013,849819.6026,490694.4662,280900
71002309021,849817.2604,490624.1197,345600
71002309039,849822.0236,490536.5453,323200
71002309047,849872.1354,490443.3414,360000
71002309055,849880.7845,490373.8146,355200
71002309063,849879.7004,490304.5772,307700
71002309071,849989.9592,490310.8079,390300
71002310010,849374.5025,490167.8045,331600
71002310028,849439.8681,490167.44200000004,352000
71002310036,849498.8709,490166.83,309900
71002310044,849557.8736,490166.2179,292000
71002310052,849616.8764,490165.6059,302900
71002310060,849675.8792,490164.9938,414600
71002310078,849734.8817,490164.3818,323900
71002310086,849888.535,490167.2499,311900
71002310094,849947.5143,490169.1071,319600
71002310101,850009.5243,490170.4375,278700
71002310119,850009.7819,490091.0954,280100
71002310127,849949.2509999999,490085.6147,285000
71002310135,849890.5908,490082.2861,353100
71002310143,849734.9720000001,490078.6617,300000
71002310151,849675.9709999999,490077.9888,274800
71002310169,849616.9698,490077.3161,289400
71002310177,849557.9687,490076.6431,272700
71002310185,849498.9675,490075.9701,309900
71002310193,849439.9663,490075.2973,324700
71002310200,849375.6781,490077.2795,318100
71002311018,849386.3942,489925.6225,300900
71002311026,849464.6684,489912.815,299500
71002311034,849532.7645,489914.9844,349400
71002311042,849601.748,489916.4933,336900
71002311050,849670.7314,489918.00200000004,336600
71002311068,849739.715,489919.5107,341000
71002311076,849881.026,489922.5993,335300
71002311084,849939.8189,489922.9336,353100
71002311092,850003.5111,489921.4006,326200
71002311109,850004.151,489813.5669,309600
71002311117,849942.4776,489810.8146,310900
71002311125,849883.4905,489809.583,304800
71002311133,849742.1743,489806.6312,92600
71002311141,849673.1892,489805.1907,386100
71002311159,849604.2043,489803.7503,319900
71002311167,849535.2194,489802.31,340700
71002311175,849464.7248,489800.2233,314900
71002311183,849379.2114,489781.3366,346200
71002311191,849380.8298,489854.1293,334900
71002312016,849387.1114,489424.5176,11800
71002312024,849391.1372,489505.2736,11100
71002312032,849392.1425,489572.1782,11300
71002312040,849393.2215,489644.4814,362900
71002312058,849491.8644,489622.3327,390000
71002312066,849558.8495,489623.7342,369500
71002312074,849624.3894,489625.106,369900
71002312082,849686.93,489626.414,349900
71002312090,849745.9171,489627.6481,342800
71002312107,849895.1539,489629.1887,335200
71002312115,849954.141,489630.4203,359400
71002312123,850020.4417,489626.9812,286500
71002313014,849110.8695,491068.1866,270000
71002313022,849148.3913,491022.6549,313900
71002313030,849186.2803,490976.5017,279400
71002313048,849216.296,490923.7851,263500
71002313056,849229.2474,490865.4667,305500
71002314038,849214.0909,490327.8787,339700
71002314046,849212.8696,490268.8913,305400
71002314054,849211.6484,490209.9039,361400
71002314062,849205.2725,490150.4799,283500
71002314070,849229.7609999999,490076.3399,328100
71002314088,849159.6623,490072.7778,270800
71002314286,848641.1912,489272.8963,2100
71002315010,848777.1712,489294.1991,2500
71002315185,848944.0254,489476.9287,2800
71002315193,848918.9961,489407.7334,3000
71002315200,848901.6671,489312.7928,3400
71002315218,848838.4113,489295.2649,2300
71002316018,849031.7193,489292.2053,2400
71002316026,849073.3896,489373.2105,2800
71002316034,849102.9673,489435.3392,2700
71002316117,849220.694,489922.3176,216400
71002316125,849221.7046,489850.2601,334900
71002316133,849220.2764,489781.275,369900
71002316141,849218.8482,489712.2898,319900
71002316159,849217.4199,489643.3045,319900
71002316167,849216.0329999999,489576.3189,9900
71002316183,849213.7409,489444.6638,10100
71002316191,849188.0324,489378.0068,10600
71002316208,849168.2709,489301.3325,10600
71002316216,849095.3212,489295.6446,2100
71002317016,849957.387,491528.506,35600
71002317024,849957.2354,491488.8672,100
71002317032,849956.5417,491451.5736,100
71002317058,849949.2456,491373.0695,100
71002401017,851736.537,489670.5798,300700
71002401025,851723.5732,489589.6001,264300
71002401033,851764.4058,489489.86799999996,217600
71002401041,851659.3077,489485.70700000005,296400
71002401059,851617.681,489402.8845,299700
71002401067,851592.4249,489293.1873,400800
71002401075,851679.808,489261.6086,310300
71002401083,851782.1042,489279.0181,294900
71002401950,851404.5838,489449.5637,454100
71002402015,851937.0995,489723.703,321100
71002402023,851938.7572,489654.3003,315300
71002402031,851942.8359,489588.4014,318600
71002402049,851946.9146,489522.50200000004,275400
71002402057,851950.9936,489456.6026,330000
71002402065,851955.0725,489390.703,279800
71002402073,851959.1509,489324.8036,296400
71002402081,851963.1086,489258.6982,249600
71002403013,851127.167,490113.6135,354300
71002403021,851128.1461,490195.4811,11500
71002403039,851128.8103,490268.4834,131700
71002403047,851129.4743,490341.4862,176100
71002403055,851130.1382,490414.4881,229400
71002403063,851131.6605,490488.7129,106800
71002403071,851255.1653,490758.7443,400800
71002403089,851252.5627,490678.559,348500
71002403097,851251.9745,490610.5565,316200
71002403104,851251.4039,490542.5626,403500
71002403120,851248.9878,490390.0878,513300
71002403138,851289.3156,490284.9856,355000
71002403146,851425.8988,490242.1029,402000
71002403162,851303.7453,490142.5513,307800
71002403170,851229.6484,490140.1305,399900
71002403188,851134.4242,490563.1163,328800
71002403196,851156.8938,490665.5244,341000
71002405225,850953.4345,489965.9463,426200
71002405233,850953.3903,489893.677,366000
71002405241,850952.7393,489824.6781,381200
71002405259,850952.0843,489755.6812,59700
71002405267,850951.4482,489688.6842,241700
71002405275,850944.0487,489624.06799999997,477700
71002405283,850946.7736,489559.0606,59900
71002405291,850949.4905,489494.05600000004,337900
71002405308,850951.6765,489427.2878,273100
71002405316,850891.2097,489399.7342,315700
71002405324,850861.8497,489479.8678,284800
71002405332,850845.1805,489540.1286,296400
71002405340,850829.2067,489597.8481,307900
71002405358,850789.4576,489646.3769,322700
71002405366,850760.6138,489704.6267,346600
71002405374,850731.7718,489762.8774,355500
71002406190,850658.3871,489102.9297,271600
71002406207,850711.1245,489103.8577,263000
71002406215,850762.1174,489105.8922,259900
71002406223,850814.8727,489122.3767,220000
71002406257,850794.7401,489203.6311,301000
71002406265,850790.2278,489249.7113,259200
71002406273,850779.4545,489295.0791,255000
71002406281,850764.7886,489338.87299999996,248100
71002406299,850747.6927,489381.5601,254400
71002406306,850728.5156,489422.9425,265000
71002406314,850708.6319,489463.3642,260500
71002406322,850688.6644,489503.6917,269200
71002406330,850668.6969,489544.019,259900
71002406348,850648.7293,489584.3464,267300
71002406356,850628.7617,489624.6737,270400
71002406364,850600.8812,489674.526,316600
71002411058,850158.7083,490319.9983,285000
71002415018,851126.7873,489962.7549,490000
71002415026,851125.3005,489882.4773,160800
71002415034,851124.6457,489810.4748,184500
71002415042,851123.9908,489738.4727,213300
71002415050,851123.2956,489666.4789,342700
71002415068,851122.5887,489594.4701,346400
71002415076,851121.9202,489522.4678,346300
71002415084,851125.2265,489436.7039,332300
71002415092,851114.9479,489330.5117,410900
71002415109,851058.9792,489259.7296,386900
71002415117,850947.9872,489241.6523,314000
71002415125,851227.4619,489940.29799999995,307200
71002415133,851298.541,489942.0458,348500
71002415141,851377.0895,489949.6391,343900
71002415159,851280.4262,489812.3194,386500
71002417098,851107.9304,491727.8949,232700
71002417189,850156.6362,491740.4683,27800
71002417197,850156.0945,491698.3614,15500
71002417204,850156.4014,491668.8509,15500
71002417212,850158.7913,491636.8347,18600
71002418012,851232.6015,491512.5707,228000
71002418020,851289.1287,491524.2275,244500
71002418038,851345.3023,491550.0347,268700
71002418046,851402.1852,491578.6317,276300
71002418054,851457.5951,491593.4375,215800
71002418070,851502.5,491462.2589,246000
71002418088,851436.6235,491461.6744,278300
71002418096,851369.7962,491448.3772,299400
71002418103,851280.9709,491401.6225,291400
71002418111,851271.1455,491297.9554,324200
71002418129,851356.5216,491234.1664,349800
71002418137,851472.8502,491278.4606,417000
71002418145,851485.6546,491091.3976,289200
71002418153,851503.3688,491029.107,338800
71002418161,851413.9179,491026.1902,366100
71002418179,851363.2213,490996.0675,330000
71002418187,851309.6406,490966.8368,370000
71002418210,851153.0909999999,490888.7809,418000
71002418244,851072.5088,490799.4486,344200
71002418252,851030.026,490723.1885,362200
71002418260,850989.9245,490647.5675,353200
71002418278,850957.7312,490565.2045,355300
71002418591,850917.8594,491446.91299999994,100
