Year,Total Sales,Median_Price,Mean_Price,Price_STD,Top2Percent,Median_Price_Inflated,Mean_Price_Inflated,Price_STD_Inflated,Top2Percent_Inflated
1599,2,0,0,0,0,0,0,0,0
1900,11,52900,55666,46137,140146,1419307,1493538,1237864,3760138
1910,1,0,0,0,0,0,0,0,0
1911,12,1,1,0,1,27,27,0,27
1912,1,1,1,0,1,26,26,0,26
1914,1,1,1,0,1,25,25,0,25
1915,1,1400,1400,0,1400,36022,36022,0,36022
1916,1,0,0,0,0,0,0,0,0
1920,2,0,0,0,0,6,6,6,12
1921,1,2800,2800,0,2800,40656,40656,0,40656
1922,5,1,392,783,1803,15,6076,12122,27896
1923,3,1,1,0,1,15,15,0,15
1924,2,1,1,0,1,15,15,0,15
1925,3,1,1167,1649,3360,14,17329,24497,49896
1926,1,1,1,0,1,14,14,0,14
1927,2,1,1,0,1,14,14,0,14
1928,1,1,1,0,1,15,15,0,15
1930,1,0,0,0,0,0,0,0,0
1932,1,1,1,0,1,18,18,0,18
1934,3,1,0,0,1,19,12,9,19
1936,1,2500,2500,0,2500,46750,46750,0,46750
1940,2,0,0,0,0,0,0,0,0
1941,2,0,0,0,0,0,0,0,0
1943,1,0,0,0,0,0,0,0,0
1944,4,0,0,0,0,0,3,6,13
1945,3,1,1,0,1,14,14,0,14
1946,1,1,1,0,1,13,13,0,13
1947,2,0,0,0,0,5,5,5,11
1948,2,0,0,0,0,0,0,0,0
1949,1,1,1,0,1,10,10,0,10
1950,3,1,1,0,1,10,10,0,10
1951,2,13000,13000,12999,25480,130005,130005,129995,254800
1952,2,0,0,0,0,4,4,4,9
1953,2,16700,16700,16700,32732,162491,162491,162491,318482
1954,5,1,500,999,2300,9,4833,9658,22218
1955,5,1,5300,10599,24380,9,51413,102818,236486
1956,7,1,10143,12548,29260,9,96968,119967,279725
1957,2,0,0,0,0,0,0,0,0
1958,7,1,6786,10966,26980,8,61008,98590,242550
1959,9,1,8833,12551,28000,8,78884,112088,250040
